natural_language_command,main_command,argument
show disk space please,system_status,disk space
I need you to exit powerpoint please,close_application,powerpoint
help me get cpu usage now,system_status,cpu usage
would you mind find news please,web_search,news
please open photoshop for me,open_application,photoshop
would you mind close spotify now,close_application,spotify
could you display battery now,system_status,battery
would you mind quit firefox for me,close_application,firefox
could you quit notepad,close_application,notepad
please run firefox now,open_application,firefox
would you mind look up movies,web_search,movies
please adjust brightness up please,media_control,brightness up
can you show disk space for me,system_status,disk space
help me adjust mute,media_control,mute
can you find news for me,web_search,news
could you exit notepad please,close_application,notepad
I want you to run photoshop now,open_application,photoshop
I want you to adjust mute for me,media_control,mute
can you run firefox please,open_application,firefox
run word for me,open_application,word
I want you to search for courses for me,web_search,courses
help me exit spotify for me,close_application,spotify
I want you to open excel please,open_application,excel
could you adjust volume up please,media_control,volume up
I want you to adjust volume up please,media_control,volume up
could you quit firefox,close_application,firefox
can you adjust unmute now,media_control,unmute
help me search for reviews now,web_search,reviews
run powerpoint,open_application,powerpoint
would you mind launch notepad please,open_application,notepad
help me adjust unmute please,media_control,unmute
help me show battery,system_status,battery
could you terminate chrome,close_application,chrome
I need you to get cpu usage please,system_status,cpu usage
terminate calculator for me,close_application,calculator
help me exit firefox please,close_application,firefox
get network status please,system_status,network status
would you mind adjust brightness up now,media_control,brightness up
help me close photoshop please,close_application,photoshop
help me exit calculator for me,close_application,calculator
could you get memory usage now,system_status,memory usage
help me change volume up for me,media_control,volume up
could you terminate powerpoint now,close_application,powerpoint
I want you to exit matlab please,close_application,matlab
please google courses now,web_search,courses
can you find jobs please,web_search,jobs
would you mind get disk space,system_status,disk space
find recipes,web_search,recipes
help me display memory usage,system_status,memory usage
change volume up please,media_control,volume up
I want you to google restaurants for me,web_search,restaurants
help me launch notepad for me,open_application,notepad
please open excel,open_application,excel
I need you to get disk space,system_status,disk space
I want you to display cpu usage,system_status,cpu usage
can you terminate firefox for me,close_application,firefox
please get system status for me,system_status,system status
would you mind display network status for me,system_status,network status
please run chrome,open_application,chrome
can you check memory usage,system_status,memory usage
would you mind close excel please,close_application,excel
would you mind adjust mute,media_control,mute
I want you to adjust unmute now,media_control,unmute
help me close word for me,close_application,word
could you terminate calculator,close_application,calculator
open word please,open_application,word
help me start spotify now,open_application,spotify
would you mind run spotify please,open_application,spotify
I want you to exit chrome now,close_application,chrome
would you mind adjust volume up for me,media_control,volume up
please check cpu usage,system_status,cpu usage
help me look up news for me,web_search,news
can you look up hotels for me,web_search,hotels
search for jobs now,web_search,jobs
can you look up jobs now,web_search,jobs
could you close matlab now,close_application,matlab
can you find products now,web_search,products
please look up reviews for me,web_search,reviews
can you find tutorials please,web_search,tutorials
help me search for jobs please,web_search,jobs
would you mind close powerpoint for me,close_application,powerpoint
can you check system status,system_status,system status
could you start spotify please,open_application,spotify
can you adjust mute,media_control,mute
please terminate powerpoint,close_application,powerpoint
I want you to look up products for me,web_search,products
please google recipes for me,web_search,recipes
would you mind set unmute now,media_control,unmute
help me show system status please,system_status,system status
I want you to adjust volume up,media_control,volume up
help me set volume down please,media_control,volume down
please close notepad,close_application,notepad
could you quit powerpoint for me,close_application,powerpoint
can you launch terminal for me,open_application,terminal
set mute now,media_control,mute
exit notepad please,close_application,notepad
help me get network status,system_status,network status
help me adjust volume down please,media_control,volume down
can you google hotels,web_search,hotels
I want you to google news please,web_search,news
I want you to find weather forecast,web_search,weather forecast
can you quit word,close_application,word
would you mind set volume up now,media_control,volume up
I need you to terminate firefox now,close_application,firefox
would you mind get disk space for me,system_status,disk space
could you change mute for me,media_control,mute
I want you to run powerpoint please,open_application,powerpoint
please set volume down for me,media_control,volume down
quit terminal please,close_application,terminal
could you display disk space,system_status,disk space
would you mind check memory usage please,system_status,memory usage
I need you to google jobs please,web_search,jobs
can you open firefox for me,open_application,firefox
help me exit chrome now,close_application,chrome
help me get disk space for me,system_status,disk space
please run photoshop now,open_application,photoshop
would you mind display memory usage please,system_status,memory usage
please run powerpoint for me,open_application,powerpoint
please quit vscode for me,close_application,vscode
can you search for restaurants please,web_search,restaurants
help me adjust volume down now,media_control,volume down
could you close firefox,close_application,firefox
please start excel for me,open_application,excel
I want you to get disk space for me,system_status,disk space
would you mind exit chrome please,close_application,chrome
launch powerpoint for me,open_application,powerpoint
can you close word now,close_application,word
search for movies,web_search,movies
I need you to run notepad now,open_application,notepad
would you mind start spotify please,open_application,spotify
would you mind look up jobs please,web_search,jobs
would you mind google recipes,web_search,recipes
please change mute please,media_control,mute
can you exit photoshop now,close_application,photoshop
can you adjust unmute for me,media_control,unmute
help me run photoshop please,open_application,photoshop
please check battery,system_status,battery
can you check disk space now,system_status,disk space
I want you to exit notepad,close_application,notepad
change unmute please,media_control,unmute
would you mind adjust brightness down now,media_control,brightness down
would you mind get cpu usage please,system_status,cpu usage
I need you to run excel please,open_application,excel
can you quit calculator,close_application,calculator
could you exit vscode for me,close_application,vscode
I want you to open powerpoint,open_application,powerpoint
help me launch chrome for me,open_application,chrome
can you close powerpoint please,close_application,powerpoint
please launch matlab for me,open_application,matlab
help me look up reviews for me,web_search,reviews
would you mind exit powerpoint,close_application,powerpoint
I need you to close word,close_application,word
I need you to find flights,web_search,flights
please find reviews for me,web_search,reviews
look up hotels,web_search,hotels
open excel now,open_application,excel
could you run spotify please,open_application,spotify
could you show battery for me,system_status,battery
can you change unmute now,media_control,unmute
could you quit matlab,close_application,matlab
open terminal now,open_application,terminal
I want you to launch spotify now,open_application,spotify
exit excel,close_application,excel
could you find products for me,web_search,products
would you mind look up reviews now,web_search,reviews
can you open excel,open_application,excel
I need you to start excel please,open_application,excel
I need you to search for reviews please,web_search,reviews
please change volume up for me,media_control,volume up
please run terminal now,open_application,terminal
can you search for news for me,web_search,news
could you start word please,open_application,word
can you google courses now,web_search,courses
help me look up news now,web_search,news
could you exit excel,close_application,excel
help me adjust mute please,media_control,mute
I want you to run excel please,open_application,excel
would you mind find jobs for me,web_search,jobs
would you mind run powerpoint now,open_application,powerpoint
can you quit powerpoint for me,close_application,powerpoint
can you terminate photoshop,close_application,photoshop
can you quit calculator please,close_application,calculator
check memory usage for me,system_status,memory usage
I need you to show network status for me,system_status,network status
find products for me,web_search,products
would you mind find tutorials,web_search,tutorials
I need you to exit photoshop please,close_application,photoshop
could you look up reviews please,web_search,reviews
can you close powerpoint for me,close_application,powerpoint
would you mind terminate vscode please,close_application,vscode
would you mind terminate firefox now,close_application,firefox
please launch photoshop please,open_application,photoshop
could you display network status for me,system_status,network status
help me search for weather forecast,web_search,weather forecast
please display disk space,system_status,disk space
can you set mute for me,media_control,mute
I need you to quit excel,close_application,excel
would you mind launch matlab please,open_application,matlab
would you mind terminate word now,close_application,word
help me open powerpoint for me,open_application,powerpoint
start firefox,open_application,firefox
help me change mute now,media_control,mute
please run terminal please,open_application,terminal
set brightness down,media_control,brightness down
I want you to start photoshop now,open_application,photoshop
please close word now,close_application,word
could you display disk space for me,system_status,disk space
help me close chrome for me,close_application,chrome
would you mind launch powerpoint please,open_application,powerpoint
find reviews,web_search,reviews
would you mind google courses for me,web_search,courses
would you mind terminate vscode,close_application,vscode
please terminate calculator for me,close_application,calculator
would you mind open word,open_application,word
could you find recipes,web_search,recipes
I want you to close word,close_application,word
can you close excel for me,close_application,excel
I need you to adjust volume up for me,media_control,volume up
I want you to get memory usage for me,system_status,memory usage
can you launch word please,open_application,word
I need you to adjust brightness down,media_control,brightness down
I want you to launch vscode please,open_application,vscode
I need you to exit notepad please,close_application,notepad
would you mind run firefox,open_application,firefox
would you mind run calculator please,open_application,calculator
help me start terminal please,open_application,terminal
help me display disk space please,system_status,disk space
would you mind quit calculator for me,close_application,calculator
please quit spotify now,close_application,spotify
search for courses please,web_search,courses
close terminal,close_application,terminal
help me run chrome now,open_application,chrome
can you get battery for me,system_status,battery
run vscode,open_application,vscode
please display network status please,system_status,network status
please check network status,system_status,network status
please run spotify now,open_application,spotify
can you display memory usage now,system_status,memory usage
help me look up weather forecast for me,web_search,weather forecast
I want you to start vscode for me,open_application,vscode
I need you to close matlab,close_application,matlab
I want you to close photoshop now,close_application,photoshop
would you mind run powerpoint please,open_application,powerpoint
would you mind start terminal please,open_application,terminal
I need you to check battery now,system_status,battery
help me find hotels for me,web_search,hotels
please look up hotels,web_search,hotels
could you terminate matlab for me,close_application,matlab
I want you to show system status please,system_status,system status
help me search for weather forecast for me,web_search,weather forecast
please exit chrome now,close_application,chrome
can you open powerpoint now,open_application,powerpoint
I want you to show battery please,system_status,battery
get system status,system_status,system status
please get battery now,system_status,battery
help me exit terminal please,close_application,terminal
please close spotify for me,close_application,spotify
would you mind terminate excel please,close_application,excel
can you run word please,open_application,word
can you quit matlab please,close_application,matlab
can you search for recipes for me,web_search,recipes
I want you to set brightness up please,media_control,brightness up
adjust volume up for me,media_control,volume up
could you look up tutorials now,web_search,tutorials
close notepad now,close_application,notepad
I want you to show cpu usage for me,system_status,cpu usage
I want you to check system status please,system_status,system status
help me find tutorials,web_search,tutorials
start vscode now,open_application,vscode
can you adjust volume up for me,media_control,volume up
I want you to look up courses for me,web_search,courses
quit calculator for me,close_application,calculator
I need you to terminate vscode please,close_application,vscode
please display network status now,system_status,network status
could you show battery,system_status,battery
would you mind display battery for me,system_status,battery
I want you to check battery for me,system_status,battery
would you mind look up products for me,web_search,products
can you launch vscode please,open_application,vscode
would you mind start chrome,open_application,chrome
can you look up restaurants,web_search,restaurants
could you terminate vscode for me,close_application,vscode
I want you to quit spotify for me,close_application,spotify
would you mind close word now,close_application,word
adjust brightness down,media_control,brightness down
please adjust brightness up for me,media_control,brightness up
I want you to set unmute,media_control,unmute
could you exit word now,close_application,word
could you run excel now,open_application,excel
I want you to look up reviews now,web_search,reviews
can you quit matlab now,close_application,matlab
please launch notepad now,open_application,notepad
I need you to check memory usage for me,system_status,memory usage
check system status,system_status,system status
I want you to quit excel,close_application,excel
could you set brightness down for me,media_control,brightness down
exit powerpoint,close_application,powerpoint
I need you to find jobs now,web_search,jobs
help me close powerpoint for me,close_application,powerpoint
please check memory usage please,system_status,memory usage
I want you to adjust volume down,media_control,volume down
would you mind get network status,system_status,network status
I need you to search for restaurants,web_search,restaurants
can you search for courses please,web_search,courses
could you start calculator now,open_application,calculator
I want you to close word for me,close_application,word
would you mind open spotify for me,open_application,spotify
would you mind terminate calculator,close_application,calculator
help me check system status,system_status,system status
I need you to search for hotels now,web_search,hotels
please get cpu usage for me,system_status,cpu usage
can you change brightness down for me,media_control,brightness down
find courses please,web_search,courses
I want you to find tutorials now,web_search,tutorials
please change brightness down please,media_control,brightness down
can you display memory usage,system_status,memory usage
I need you to run firefox please,open_application,firefox
would you mind search for weather forecast for me,web_search,weather forecast
could you run calculator,open_application,calculator
please terminate excel,close_application,excel
can you launch calculator now,open_application,calculator
help me find weather forecast please,web_search,weather forecast
I want you to get network status please,system_status,network status
start powerpoint now,open_application,powerpoint
I want you to look up news for me,web_search,news
help me search for products now,web_search,products
could you google news please,web_search,news
would you mind check battery now,system_status,battery
I need you to adjust brightness up now,media_control,brightness up
I want you to adjust volume up for me,media_control,volume up
please show memory usage please,system_status,memory usage
launch spotify,open_application,spotify
would you mind exit spotify for me,close_application,spotify
terminate terminal,close_application,terminal
could you run vscode please,open_application,vscode
search for hotels,web_search,hotels
search for courses now,web_search,courses
can you change unmute please,media_control,unmute
help me close terminal for me,close_application,terminal
I need you to terminate calculator for me,close_application,calculator
I want you to find movies please,web_search,movies
would you mind run excel please,open_application,excel
could you find courses,web_search,courses
can you terminate excel please,close_application,excel
could you close powerpoint now,close_application,powerpoint
help me adjust unmute now,media_control,unmute
please launch terminal please,open_application,terminal
I want you to run spotify now,open_application,spotify
could you show battery please,system_status,battery
please quit notepad now,close_application,notepad
I want you to close spotify now,close_application,spotify
would you mind get battery now,system_status,battery
could you show disk space now,system_status,disk space
would you mind open calculator for me,open_application,calculator
display cpu usage for me,system_status,cpu usage
could you adjust mute for me,media_control,mute
I want you to close vscode for me,close_application,vscode
can you open photoshop now,open_application,photoshop
I need you to change unmute please,media_control,unmute
I need you to find products,web_search,products
can you set brightness up now,media_control,brightness up
would you mind look up recipes please,web_search,recipes
I need you to run firefox,open_application,firefox
could you open firefox,open_application,firefox
help me open vscode,open_application,vscode
would you mind start photoshop,open_application,photoshop
would you mind find recipes now,web_search,recipes
can you start photoshop,open_application,photoshop
would you mind quit photoshop for me,close_application,photoshop
set volume down,media_control,volume down
would you mind terminate spotify now,close_application,spotify
I want you to google flights,web_search,flights
I want you to close powerpoint for me,close_application,powerpoint
help me search for tutorials please,web_search,tutorials
close powerpoint please,close_application,powerpoint
exit word please,close_application,word
I need you to open firefox for me,open_application,firefox
can you open calculator please,open_application,calculator
please look up weather forecast for me,web_search,weather forecast
I need you to get memory usage now,system_status,memory usage
search for hotels please,web_search,hotels
help me find tutorials for me,web_search,tutorials
would you mind display cpu usage for me,system_status,cpu usage
show disk space,system_status,disk space
I want you to launch photoshop now,open_application,photoshop
display memory usage now,system_status,memory usage
I need you to launch chrome for me,open_application,chrome
could you run word for me,open_application,word
help me show battery for me,system_status,battery
could you set unmute please,media_control,unmute
I need you to look up recipes now,web_search,recipes
I want you to find restaurants please,web_search,restaurants
I need you to quit spotify for me,close_application,spotify
would you mind open excel,open_application,excel
I need you to close firefox,close_application,firefox
can you close notepad for me,close_application,notepad
help me find restaurants,web_search,restaurants
please terminate notepad please,close_application,notepad
please look up recipes please,web_search,recipes
look up products for me,web_search,products
please start calculator please,open_application,calculator
would you mind quit spotify,close_application,spotify
could you launch excel now,open_application,excel
would you mind search for jobs now,web_search,jobs
help me open spotify please,open_application,spotify
I want you to change brightness down please,media_control,brightness down
please quit vscode now,close_application,vscode
please search for restaurants please,web_search,restaurants
can you search for products please,web_search,products
help me search for news now,web_search,news
I need you to google reviews for me,web_search,reviews
I need you to terminate matlab for me,close_application,matlab
I want you to get disk space now,system_status,disk space
could you search for jobs please,web_search,jobs
I want you to adjust brightness up,media_control,brightness up
please get memory usage now,system_status,memory usage
I need you to set unmute now,media_control,unmute
would you mind run notepad for me,open_application,notepad
would you mind search for recipes,web_search,recipes
I need you to run spotify please,open_application,spotify
would you mind display battery now,system_status,battery
please show memory usage now,system_status,memory usage
display memory usage for me,system_status,memory usage
google weather forecast now,web_search,weather forecast
please check battery please,system_status,battery
check memory usage,system_status,memory usage
can you exit notepad please,close_application,notepad
please close vscode please,close_application,vscode
can you adjust brightness down please,media_control,brightness down
I need you to run chrome now,open_application,chrome
could you find weather forecast for me,web_search,weather forecast
I need you to set mute now,media_control,mute
would you mind look up courses,web_search,courses
help me launch firefox please,open_application,firefox
can you open calculator for me,open_application,calculator
I need you to display memory usage please,system_status,memory usage
could you set unmute for me,media_control,unmute
could you quit photoshop for me,close_application,photoshop
I want you to show memory usage now,system_status,memory usage
exit powerpoint please,close_application,powerpoint
can you find movies,web_search,movies
would you mind look up recipes for me,web_search,recipes
I need you to terminate photoshop now,close_application,photoshop
can you adjust brightness up please,media_control,brightness up
I need you to look up weather forecast for me,web_search,weather forecast
look up news for me,web_search,news
please start vscode please,open_application,vscode
I need you to find flights now,web_search,flights
please open excel please,open_application,excel
would you mind find tutorials for me,web_search,tutorials
I want you to change unmute for me,media_control,unmute
can you set brightness down for me,media_control,brightness down
can you open powerpoint please,open_application,powerpoint
I need you to quit spotify,close_application,spotify
help me change brightness down now,media_control,brightness down
exit notepad for me,close_application,notepad
please display system status now,system_status,system status
help me look up hotels now,web_search,hotels
can you change brightness down,media_control,brightness down
would you mind open photoshop for me,open_application,photoshop
I need you to launch terminal for me,open_application,terminal
I want you to find recipes now,web_search,recipes
I need you to set mute,media_control,mute
help me start notepad please,open_application,notepad
help me launch photoshop please,open_application,photoshop
open chrome now,open_application,chrome
can you set brightness up for me,media_control,brightness up
I want you to check network status now,system_status,network status
can you check memory usage now,system_status,memory usage
help me exit notepad for me,close_application,notepad
I need you to show system status,system_status,system status
could you quit vscode for me,close_application,vscode
help me google movies for me,web_search,movies
I need you to look up tutorials now,web_search,tutorials
I want you to set brightness up for me,media_control,brightness up
would you mind open photoshop now,open_application,photoshop
would you mind close photoshop,close_application,photoshop
help me look up news,web_search,news
google weather forecast,web_search,weather forecast
would you mind launch terminal for me,open_application,terminal
I want you to search for jobs now,web_search,jobs
I want you to find reviews now,web_search,reviews
would you mind close spotify please,close_application,spotify
could you show battery now,system_status,battery
help me google products,web_search,products
can you look up news now,web_search,news
could you display memory usage for me,system_status,memory usage
help me show memory usage now,system_status,memory usage
I want you to show disk space now,system_status,disk space
I want you to set mute now,media_control,mute
help me run terminal for me,open_application,terminal
could you start notepad,open_application,notepad
could you close excel,close_application,excel
display disk space,system_status,disk space
can you search for flights for me,web_search,flights
help me start vscode for me,open_application,vscode
help me check disk space now,system_status,disk space
change brightness up for me,media_control,brightness up
would you mind start powerpoint,open_application,powerpoint
I need you to start vscode please,open_application,vscode
can you terminate word,close_application,word
could you get network status for me,system_status,network status
can you display cpu usage,system_status,cpu usage
help me set brightness down for me,media_control,brightness down
could you exit powerpoint please,close_application,powerpoint
help me look up tutorials now,web_search,tutorials
help me start notepad,open_application,notepad
could you get network status now,system_status,network status
run chrome please,open_application,chrome
please change brightness down,media_control,brightness down
please set brightness down for me,media_control,brightness down
please adjust mute for me,media_control,mute
can you open notepad now,open_application,notepad
help me google recipes please,web_search,recipes
would you mind start spotify for me,open_application,spotify
could you close firefox please,close_application,firefox
please show battery,system_status,battery
could you open notepad,open_application,notepad
terminate firefox please,close_application,firefox
can you check system status now,system_status,system status
could you start notepad now,open_application,notepad
could you set volume up,media_control,volume up
I want you to launch word,open_application,word
please quit terminal now,close_application,terminal
would you mind close firefox,close_application,firefox
help me display disk space,system_status,disk space
please start word please,open_application,word
please find restaurants please,web_search,restaurants
I need you to terminate matlab,close_application,matlab
I need you to change unmute,media_control,unmute
I need you to terminate word for me,close_application,word
run chrome now,open_application,chrome
could you close photoshop,close_application,photoshop
would you mind quit notepad,close_application,notepad
would you mind look up tutorials,web_search,tutorials
I want you to run notepad please,open_application,notepad
please find reviews now,web_search,reviews
would you mind search for hotels for me,web_search,hotels
could you adjust volume down for me,media_control,volume down
help me search for courses,web_search,courses
help me display system status please,system_status,system status
I need you to change brightness up for me,media_control,brightness up
I need you to google recipes,web_search,recipes
would you mind google hotels,web_search,hotels
would you mind google tutorials,web_search,tutorials
would you mind look up recipes now,web_search,recipes
can you google products please,web_search,products
I want you to get system status please,system_status,system status
I need you to find courses please,web_search,courses
could you open vscode now,open_application,vscode
could you find flights now,web_search,flights
can you change brightness up for me,media_control,brightness up
I need you to run terminal for me,open_application,terminal
I need you to terminate vscode,close_application,vscode
check battery for me,system_status,battery
please run firefox please,open_application,firefox
help me quit matlab,close_application,matlab
get system status for me,system_status,system status
can you run notepad please,open_application,notepad
I need you to adjust mute please,media_control,mute
change brightness down now,media_control,brightness down
I want you to close excel for me,close_application,excel
help me get network status now,system_status,network status
could you start chrome for me,open_application,chrome
I need you to display system status please,system_status,system status
please set mute for me,media_control,mute
could you set mute for me,media_control,mute
could you look up hotels for me,web_search,hotels
I want you to look up weather forecast please,web_search,weather forecast
please start matlab,open_application,matlab
please change volume down please,media_control,volume down
please adjust brightness down please,media_control,brightness down
I need you to set volume down now,media_control,volume down
could you look up news,web_search,news
can you open word please,open_application,word
I want you to search for news for me,web_search,news
could you adjust volume up for me,media_control,volume up
would you mind show battery now,system_status,battery
would you mind check network status now,system_status,network status
launch firefox now,open_application,firefox
I want you to search for reviews,web_search,reviews
terminate word now,close_application,word
can you close excel now,close_application,excel
help me quit excel please,close_application,excel
could you open photoshop now,open_application,photoshop
I want you to terminate word for me,close_application,word
can you show battery,system_status,battery
please search for flights,web_search,flights
please search for recipes for me,web_search,recipes
please close chrome for me,close_application,chrome
quit excel,close_application,excel
would you mind change mute now,media_control,mute
I need you to google movies,web_search,movies
search for tutorials,web_search,tutorials
change brightness up now,media_control,brightness up
can you display network status for me,system_status,network status
please exit matlab,close_application,matlab
can you google jobs,web_search,jobs
I want you to run excel now,open_application,excel
please display network status,system_status,network status
change brightness down for me,media_control,brightness down
would you mind google news,web_search,news
could you find flights for me,web_search,flights
please launch calculator for me,open_application,calculator
exit word,close_application,word
could you start calculator,open_application,calculator
please show disk space please,system_status,disk space
help me terminate notepad please,close_application,notepad
help me change unmute please,media_control,unmute
please search for news please,web_search,news
could you run spotify,open_application,spotify
can you change volume up for me,media_control,volume up
could you display memory usage now,system_status,memory usage
please exit terminal please,close_application,terminal
I need you to get network status,system_status,network status
I want you to search for products now,web_search,products
I want you to close powerpoint now,close_application,powerpoint
I need you to set volume up for me,media_control,volume up
can you display network status please,system_status,network status
google hotels now,web_search,hotels
close calculator please,close_application,calculator
find tutorials please,web_search,tutorials
close vscode,close_application,vscode
I want you to search for movies please,web_search,movies
please search for jobs,web_search,jobs
help me quit word please,close_application,word
I want you to set brightness down now,media_control,brightness down
would you mind check cpu usage for me,system_status,cpu usage
terminate notepad please,close_application,notepad
I need you to quit word,close_application,word
set mute,media_control,mute
I want you to open spotify please,open_application,spotify
start photoshop for me,open_application,photoshop
help me adjust brightness up for me,media_control,brightness up
please quit powerpoint,close_application,powerpoint
could you launch vscode please,open_application,vscode
would you mind run terminal now,open_application,terminal
please close spotify please,close_application,spotify
I need you to start matlab now,open_application,matlab
could you google courses,web_search,courses
I want you to find news for me,web_search,news
I need you to get network status please,system_status,network status
can you adjust volume down,media_control,volume down
help me terminate powerpoint please,close_application,powerpoint
could you launch spotify,open_application,spotify
I want you to look up movies for me,web_search,movies
would you mind open terminal now,open_application,terminal
please quit vscode please,close_application,vscode
I want you to start excel for me,open_application,excel
help me look up jobs please,web_search,jobs
help me exit photoshop,close_application,photoshop
please terminate photoshop for me,close_application,photoshop
please open spotify,open_application,spotify
help me set unmute for me,media_control,unmute
I need you to run matlab please,open_application,matlab
can you launch word,open_application,word
search for restaurants for me,web_search,restaurants
would you mind set mute,media_control,mute
I want you to find jobs,web_search,jobs
search for flights now,web_search,flights
can you launch firefox,open_application,firefox
can you launch vscode now,open_application,vscode
can you run powerpoint for me,open_application,powerpoint
please start spotify please,open_application,spotify
quit powerpoint,close_application,powerpoint
could you check system status now,system_status,system status
I want you to look up tutorials now,web_search,tutorials
close terminal please,close_application,terminal
would you mind terminate terminal,close_application,terminal
help me show disk space,system_status,disk space
help me change volume down please,media_control,volume down
please get system status please,system_status,system status
search for tutorials for me,web_search,tutorials
I need you to quit spotify please,close_application,spotify
I need you to show disk space now,system_status,disk space
would you mind check system status now,system_status,system status
would you mind find recipes,web_search,recipes
would you mind google tutorials for me,web_search,tutorials
I need you to google products for me,web_search,products
I want you to set volume down now,media_control,volume down
run powerpoint please,open_application,powerpoint
could you search for movies for me,web_search,movies
I need you to set volume down for me,media_control,volume down
check network status for me,system_status,network status
I want you to run chrome now,open_application,chrome
would you mind exit photoshop for me,close_application,photoshop
would you mind change volume up please,media_control,volume up
I need you to check system status,system_status,system status
would you mind get memory usage,system_status,memory usage
could you start calculator for me,open_application,calculator
could you start matlab for me,open_application,matlab
would you mind close calculator now,close_application,calculator
I need you to exit firefox for me,close_application,firefox
adjust brightness down for me,media_control,brightness down
help me exit vscode now,close_application,vscode
help me look up hotels for me,web_search,hotels
would you mind launch terminal please,open_application,terminal
can you close matlab now,close_application,matlab
please set volume up,media_control,volume up
show cpu usage,system_status,cpu usage
I need you to find tutorials,web_search,tutorials
I need you to display network status,system_status,network status
google reviews please,web_search,reviews
I want you to change volume up for me,media_control,volume up
please find tutorials now,web_search,tutorials
display network status,system_status,network status
can you search for jobs for me,web_search,jobs
please run spotify,open_application,spotify
would you mind look up reviews please,web_search,reviews
start word please,open_application,word
I need you to get network status for me,system_status,network status
I want you to adjust volume down for me,media_control,volume down
could you search for news,web_search,news
run matlab,open_application,matlab
please start powerpoint please,open_application,powerpoint
I want you to launch vscode,open_application,vscode
can you search for courses for me,web_search,courses
could you check cpu usage now,system_status,cpu usage
I want you to look up tutorials,web_search,tutorials
could you start photoshop,open_application,photoshop
can you set volume down for me,media_control,volume down
help me quit photoshop now,close_application,photoshop
help me set brightness up please,media_control,brightness up
change brightness down,media_control,brightness down
could you display network status please,system_status,network status
could you google restaurants now,web_search,restaurants
please find weather forecast now,web_search,weather forecast
please run vscode now,open_application,vscode
would you mind open vscode now,open_application,vscode
I need you to set brightness down for me,media_control,brightness down
look up products please,web_search,products
adjust brightness up,media_control,brightness up
please start calculator now,open_application,calculator
could you adjust brightness up,media_control,brightness up
I need you to run chrome please,open_application,chrome
please adjust volume up now,media_control,volume up
I need you to set volume down,media_control,volume down
please launch vscode please,open_application,vscode
can you start powerpoint,open_application,powerpoint
I want you to google tutorials please,web_search,tutorials
search for products now,web_search,products
I want you to start firefox for me,open_application,firefox
would you mind search for movies for me,web_search,movies
help me show memory usage,system_status,memory usage
get memory usage now,system_status,memory usage
can you change volume up,media_control,volume up
I want you to look up weather forecast now,web_search,weather forecast
please quit chrome,close_application,chrome
I need you to close word for me,close_application,word
please open matlab now,open_application,matlab
I want you to close firefox for me,close_application,firefox
can you get memory usage now,system_status,memory usage
I need you to google hotels now,web_search,hotels
I need you to terminate terminal,close_application,terminal
could you launch chrome please,open_application,chrome
please adjust volume up,media_control,volume up
I want you to quit chrome please,close_application,chrome
could you find flights please,web_search,flights
would you mind start matlab please,open_application,matlab
I need you to exit spotify now,close_application,spotify
I want you to run firefox,open_application,firefox
would you mind get system status now,system_status,system status
would you mind start firefox,open_application,firefox
I want you to quit terminal please,close_application,terminal
please search for tutorials,web_search,tutorials
quit vscode now,close_application,vscode
can you display network status,system_status,network status
could you google weather forecast now,web_search,weather forecast
can you show cpu usage please,system_status,cpu usage
help me find products now,web_search,products
could you get memory usage please,system_status,memory usage
can you search for reviews please,web_search,reviews
could you set volume up for me,media_control,volume up
I need you to display system status now,system_status,system status
exit firefox for me,close_application,firefox
please terminate firefox for me,close_application,firefox
would you mind quit chrome,close_application,chrome
could you search for products please,web_search,products
help me quit matlab now,close_application,matlab
I need you to find reviews for me,web_search,reviews
please look up recipes for me,web_search,recipes
launch vscode please,open_application,vscode
help me google weather forecast now,web_search,weather forecast
please change unmute,media_control,unmute
look up recipes please,web_search,recipes
can you set volume down now,media_control,volume down
I need you to exit powerpoint now,close_application,powerpoint
please get disk space now,system_status,disk space
would you mind check system status please,system_status,system status
terminate spotify,close_application,spotify
help me look up recipes now,web_search,recipes
help me show system status,system_status,system status
help me show disk space for me,system_status,disk space
could you adjust brightness down please,media_control,brightness down
please look up news now,web_search,news
please look up reviews please,web_search,reviews
could you run notepad,open_application,notepad
would you mind change brightness up now,media_control,brightness up
would you mind quit terminal please,close_application,terminal
would you mind run terminal,open_application,terminal
I want you to get battery please,system_status,battery
show battery,system_status,battery
can you run spotify please,open_application,spotify
help me adjust brightness up now,media_control,brightness up
help me close terminal now,close_application,terminal
please display memory usage please,system_status,memory usage
would you mind launch photoshop now,open_application,photoshop
would you mind open matlab for me,open_application,matlab
google flights please,web_search,flights
can you terminate calculator now,close_application,calculator
I want you to get battery now,system_status,battery
I want you to exit notepad please,close_application,notepad
could you set volume down,media_control,volume down
would you mind search for courses please,web_search,courses
could you quit notepad for me,close_application,notepad
run vscode please,open_application,vscode
would you mind look up movies now,web_search,movies
I want you to run notepad now,open_application,notepad
please adjust mute please,media_control,mute
I want you to find products for me,web_search,products
can you terminate excel now,close_application,excel
can you run word for me,open_application,word
check battery,system_status,battery
would you mind search for tutorials please,web_search,tutorials
please terminate spotify please,close_application,spotify
I need you to exit word now,close_application,word
would you mind quit excel please,close_application,excel
change mute now,media_control,mute
run firefox,open_application,firefox
help me run calculator please,open_application,calculator
could you search for movies,web_search,movies
please find hotels please,web_search,hotels
can you get cpu usage for me,system_status,cpu usage
